id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
16969296,"Hermosa habitación en en Raval, cerca de todo.",6011393,Georgina,Ciutat Vella,el Raval,41.38378068502922,2.166186866268008,Private room,45,3,2,2017-02-28,2,1,341
14121264,Raval Oasis Bedroom,85124222,Ana,Ciutat Vella,el Raval,41.379845548085584,2.1672711667010813,Private room,50,3,3,2016-08-11,0.42,1,124
1634282,Gran  Habitacion /Centro Barcelona,8681658,Ximena,Ciutat Vella,el Raval,41.38099826413171,2.1702109811990202,Private room,45,1,163,2017-02-06,3.97,2,259
7855692,Super comfortable apartment!!! 2,34292365,Yury,Ciutat Vella,el Raval,41.383838102715615,2.16835054265067,Entire home/apt,30,1,56,2017-02-19,3.08,2,314
14272372,Single Room near Plaza Catalunya,70794802,Joanna,Ciutat Vella,el Raval,41.38433296781283,2.167878555494012,Private room,30,1,3,2016-08-26,0.44,2,64
1670235,Doble cerca de Ramblas,5157936,Ricardo Rubén,Ciutat Vella,el Raval,41.385127414960905,2.1654419989223226,Private room,35,1,243,2017-03-02,7.02,4,295
14083202,Lovely room for two in the center of Barcelona,81105486,Eduard,Ciutat Vella,el Raval,41.38309446899106,2.1655701213395995,Private room,36,2,8,2016-10-23,1.15,2,0
440840,sociable rooms in Raval 2,1457147,Piero,Ciutat Vella,el Raval,41.380116971292956,2.1710566321896865,Private room,30,3,57,2016-12-21,1.01,3,223
16552798,Nice apt with an amazing terrace,108978426,Alex- Daniel,Ciutat Vella,el Raval,41.37627695356701,2.171476656055882,Private room,21,1,1,2017-03-02,1,1,145
14797272,Doble room in historic center city,12570486,Francisco,Ciutat Vella,el Raval,41.38119604703518,2.164743122715046,Private room,30,1,35,2017-02-24,5.74,2,121
119546,BCN HUGEROOM DTOWN PRIVATE BATHROOM.,603336,Kiko,Ciutat Vella,el Raval,41.379692061280274,2.1653179757634784,Private room,65,3,177,2017-02-13,2.52,1,331
13359409,Raval's Virreina,2481770,Beatriz,Ciutat Vella,el Raval,41.3822198768391,2.1716500980220794,Private room,55,2,25,2017-03-02,3.05,1,50
13410043,CONFORTABLE ROOM FOR TWO PEOPLE,76361824,Carlos,Ciutat Vella,el Raval,41.37718686133711,2.1722834697791833,Private room,48,1,57,2017-02-05,6.40,1,86
2680644,Ramblas TOP aPartment :),10044989,Vincent,Ciutat Vella,el Raval,41.37821399450035,2.1752799474899454,Entire home/apt,165,3,3,2014-06-08,0.08,27,286
14804782,The room with barthroom prive por one persone,42906962,Luis,Ciutat Vella,el Raval,41.37913219603673,2.1704486497756976,Private room,35,25,2,2017-01-16,0.44,13,259
9650911,PANORAMIC SUNSET SUITE - Private Entrance + Patio!,49892956,Marcos,Ciutat Vella,el Raval,41.37683711418337,2.166780226427735,Private room,45,3,9,2017-02-19,3.97,1,273
12620995,Nice double room in the city center,49704172,Mae,Ciutat Vella,el Raval,41.37833171135373,2.170887428196592,Private room,25,2,50,2017-03-01,4.92,3,2
14021084,Habitación en el centro de Barcelon,83890823,Isabel,Ciutat Vella,el Raval,41.38010070893217,2.1655619661098204,Private room,42,1,33,2017-01-03,4.25,1,364
16038366,"Small, cheap & centric room in very nice house",41767442,Maurizio,Ciutat Vella,el Raval,41.38048318959563,2.1676003161571344,Private room,25,3,1,2017-01-07,0.51,3,181
7006236,Bright room with views / Raval,34731001,,Ciutat Vella,el Raval,41.37611491912861,2.166554316852124,Private room,55,2,0,,,1,364
11697542,"Suite with private bathroom, Liceu",3972894,Elias,Ciutat Vella,el Raval,41.37859791056927,2.1743269787094137,Private room,55,1,21,2017-03-02,1.94,4,322
61667,"COZY APARTMENT, GREAT LOCATION-WIFI",298874,Mayte,Ciutat Vella,el Raval,41.38008946255096,2.166961807155413,Entire home/apt,90,4,24,2016-10-08,0.32,1,275
5216068,Shinny flat right in the center!,21204534,Marc,Ciutat Vella,el Raval,41.377561320903204,2.1746455745430002,Private room,40,2,1,2015-08-21,0.05,1,0
13552524,Cosy and sunny room for 2 persons in the Raval,47306955,Victoire,Ciutat Vella,el Raval,41.3789510499445,2.1675139572023108,Private room,60,2,10,2017-03-03,1.40,1,178
406383,Aquilo habitacion muy centrica,628339,Marisa,Ciutat Vella,el Raval,41.38093071406677,2.1645825465876087,Private room,30,4,1,2015-06-02,0.05,1,365
15837673,Room for 2 in the center of Barcelona. MWC. Fira.,60468542,Alexander,Ciutat Vella,el Raval,41.37556875281344,2.167256914884124,Private room,20,2,4,2017-02-20,1.20,1,179
1351797,SUITE WITH PRIVATE BATH,4772298,Astrid,Ciutat Vella,el Raval,41.37914433549939,2.164601450354355,Private room,30,3,95,2016-07-01,2.18,1,0
11002274,RAMBLAS APARTMENT ONE BEDROOM,383697,Anna,Ciutat Vella,el Raval,41.384514056548724,2.16747682527425,Entire home/apt,100,3,11,2016-11-27,0.88,15,285
10205997,RAMBLAS (100m) - Flat+Balcony+WiFi,23737511,Vlc,Ciutat Vella,el Raval,41.37781732014626,2.175862214866519,Entire home/apt,105,2,23,2016-11-01,1.60,2,25
7769684,"Bright, clean room in central bcn",40867051,Eric,Ciutat Vella,el Raval,41.3774022539883,2.165046369267917,Private room,35,3,56,2017-02-16,2.92,1,191
13663869,Cozy bedroom in the heart of Barcelona,79236443,Ally,Ciutat Vella,el Raval,41.38157350140682,2.166497626971904,Private room,50,2,0,,,2,64
14214380,Cool Flat + Private Terrace in center,16518039,Javier,Ciutat Vella,el Raval,41.38071278119003,2.1666091272094143,Private room,50,1,6,2017-01-02,0.87,1,89
12896552,AMAZING INDUSTRIAL LOFT OLD TOWN !,70625638,Joni & Pablo,Ciutat Vella,el Raval,41.382715891338464,2.1658070235081115,Entire home/apt,100,3,38,2017-02-14,4.00,1,146
10011035,Habitacion para 4 personas en BCN,42906962,Luis,Ciutat Vella,el Raval,41.379945270271286,2.1701487297713937,Private room,80,2,1,2016-01-01,0.07,13,0
12773203,Nice room in Barcelona center,51290652,Cedric,Ciutat Vella,el Raval,41.37951188729914,2.1704052728662018,Private room,30,1,38,2017-03-02,3.74,1,155
13799907,LAS RAMBLAS! Hermosa Habitac doble,81143689,Maria Dolores,Ciutat Vella,el Raval,41.379910090317566,2.172499430161316,Private room,22,2,20,2016-12-01,2.83,4,119
16929834,EXCLUSIVA HABITACION DOBLE BARCELONA CENTRO P,59029123,Ginger,Ciutat Vella,el Raval,41.37946546298144,2.169291609213053,Private room,45,1,0,,,3,345
16991792,Private with Shared Bathroom,88178070,Marvin,Ciutat Vella,el Raval,41.37757452154139,2.173139524039641,Private room,30,2,1,2017-02-19,1,3,365
1368985,Rent Rooms - Barcelona - Ramblas,7416756,Mario,Ciutat Vella,el Raval,41.38523749073636,2.169412869597717,Private room,35,1,176,2017-02-28,4.31,2,237
990948,ALQUILO HABITACION CON CAMA DOBLE,4639926,IJose,Ciutat Vella,el Raval,41.381850940328185,2.1681860532161696,Private room,25,3,69,2017-02-23,2.14,1,303
8577709,Luxury apartment by Las Ramblas,5651747,Fernando,Ciutat Vella,el Raval,41.38400296304655,2.1699901639560295,Entire home/apt,80,3,41,2017-02-20,2.50,10,277
9557762,Lovely Suite&Private Bathroom + Art,28972454,Laura,Ciutat Vella,el Raval,41.38240738736046,2.1644357955098728,Private room,99,3,45,2016-11-02,3.19,3,112
5283951,Quiet flat in Raval area,19487691,Emilia,Ciutat Vella,el Raval,41.380740475966725,2.1666536688264193,Entire home/apt,80,2,38,2017-03-01,1.56,1,248
975337,Triple room,5314041,Claudia,Ciutat Vella,el Raval,41.3851025029453,2.1645676419269595,Private room,90,3,9,2017-01-15,0.81,12,300
1919244,Lovely and very centric DBL. room!,9206404,Diego,Ciutat Vella,el Raval,41.384389821694185,2.170469111411641,Private room,40,2,77,2017-01-11,2.37,2,334
16183827,Lovely penthouse in the center of Barcelona,36319818,Maria Jesus,Ciutat Vella,el Raval,41.37845437367787,2.1652854683596456,Entire home/apt,56,2,5,2017-01-29,1.63,1,214
17283916,Friendly loft room center Bcn,70312448,Татьяна,Ciutat Vella,el Raval,41.38548973314792,2.1692997074400995,Private room,35,1,0,,,3,54
3306780,Super room B with 4 palm tree view!,16699580,Constance,Ciutat Vella,el Raval,41.38286145478578,2.169239370614835,Private room,29,2,151,2017-02-20,4.63,3,236
2855114,Cozy and Charming Flat in Barcelona,14596247,Jorge N.,Ciutat Vella,el Raval,41.3789593106555,2.165821646199343,Entire home/apt,49,1,3,2017-02-16,0.71,1,201
1992397,Gorgeous Room inSunny Centric flat,5817294,Carin,Ciutat Vella,el Raval,41.380386959853794,2.1660776312827754,Private room,64,2,43,2017-01-02,1.10,2,361
17116982,Habitación grande y luminosa,114986263,Sergi,Ciutat Vella,el Raval,41.385077282507666,2.1669161614287837,Private room,38,2,4,2017-02-28,4,2,164
2693321,Beautiful Attic in the Raval,6698569,Lisa,Ciutat Vella,el Raval,41.38013172540865,2.165327835286913,Entire home/apt,150,1,31,2017-02-20,0.88,1,58
14172486,Fully renovated apartment in Downtown,18791653,Jaume & Dima,Ciutat Vella,el Raval,41.38095352691266,2.167019050975836,Entire home/apt,80,3,15,2016-12-21,2.26,4,252
17153324,Apartamento centrico,111952919,Alex,Ciutat Vella,el Raval,41.378814803074945,2.1673993132342675,Entire home/apt,80,1,2,2017-03-01,2,1,286
13595853,"Center of barcelona, ""El Raval"" neighborhood.",78586651,Eva,Ciutat Vella,el Raval,41.37601080441384,2.173640688416713,Private room,20,1,10,2017-02-16,1.24,2,179
15458442,SPACIOUS DESIGNER FLAT NEXT TO RAMBLAS,4064440,Andreas,Ciutat Vella,el Raval,41.384611027818195,2.164077518491238,Entire home/apt,220,3,6,2017-02-17,2.40,10,241
