id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
770453,AMAZING APARTMENT NEXT TO RAMBLAS! ,4064440,Andreas,Ciutat Vella,el Raval,41.38445531174881,2.164223725266619,Entire home/apt,143,3,94,2016-10-15,2.11,10,286
1300520,Design New Loft Close PL.CATALUNYA,5495449,Angeles & Simone,Ciutat Vella,el Raval,41.38551530971344,2.166634216862064,Entire home/apt,70,1,67,2016-10-22,1.75,1,307
9095219,COZY CENTRIC 2BD WITH LOVE,47420556,B-Mut,Ciutat Vella,el Raval,41.3784377789124,2.164473820237333,Entire home/apt,47,2,18,2016-10-26,1.49,2,319
1403350,Enjoy journey in sweet room 2,7199088,Kuldeep,Ciutat Vella,el Raval,41.37600830942332,2.172384928369585,Private room,41,1,62,2016-10-20,1.57,3,364
14134129,The Other House,85281008,Luigi,Ciutat Vella,el Raval,41.37731489758798,2.16967192969148,Entire home/apt,85,5,4,2016-10-24,2.00,1,50
5272944,GORGEOUS RUSTIC FLAT HEART BCN E2,1853675,Richard,Ciutat Vella,el Raval,41.37978550854322,2.1663862476531373,Entire home/apt,39,1,69,2016-10-02,3.28,15,309
7357116,Room at centric nice appartment,979975,Santiago,Ciutat Vella,el Raval,41.37739729284939,2.1672934492983305,Private room,19,1,23,2016-10-27,3.92,6,180
8207551,Room in Sant Antoni huge terrasse,7783989,Christophe,Ciutat Vella,el Raval,41.3808442104594,2.1638396776108855,Private room,39,1,2,2015-09-27,0.15,2,0
8570006,Loft Studio in a city's heart,45103184,Daria,Ciutat Vella,el Raval,41.37950277432664,2.167107627564049,Entire home/apt,100,2,21,2016-11-01,2.90,1,348
15194474,"Hotelroom for 2 Person, privat bath",41933296,Alessandro,Ciutat Vella,el Raval,41.37663072187723,2.170418733943578,Entire home/apt,150,4,0,,,1,195
11769523,cosy room in the heart of bcn!,33274839,Anny,Ciutat Vella,el Raval,41.379694919520944,2.168176568971058,Private room,40,2,42,2016-10-26,5.70,2,319
11967944,BEAUTIFUL FLAT. SUNNY. CLOSE TO THE BEACH,15951167,Andrea,Ciutat Vella,el Raval,41.38156913932507,2.171145231382675,Private room,49,1,4,2016-08-28,0.62,1,34
