month,neighbourhood,review_sum
2019-02,La Prosperitat,163
2019-02,La Sagrada Família,40397
2019-02,La Sagrera,1354
2019-02,La Salut,2598
2019-02,La Teixonera,376
2019-02,La Trinitat Vella,46
2019-02,La Vall d'Hebron,117
2019-02,La Verneda i La Pau,1192
2019-02,La Vila Olímpica,5136
2019-02,Les Corts,5161
2019-02,Les Tres Torres,495
2019-02,Montbau,366
2019-02,Navas,1481
2019-02,Nou Barris,76
2019-02,Pedralbes,533
2019-02,Porta,560
2019-02,Provençals del Poblenou,3251
2019-02,Sant Andreu,4
2019-02,Sant Andreu de Palomar,1137
2019-02,Sant Antoni,31039
2019-02,Sant Genís dels Agudells,438
2019-02,Sant Gervasi - Galvany,6411
2019-02,Sant Gervasi - la Bonanova,1001
2019-02,Sant Martí,168
2019-02,Sant Martí de Provençals,2455
2019-02,Sant Pere/Santa Caterina,12292
2019-02,Sants-Montjuïc,34689
2019-02,Sarrià,1215
2019-02,Sarrià-Sant Gervasi,5
2019-02,Torre Baró,359
2019-02,Trinitat Nova,148
2019-02,Turó de la Peira - Can Peguera,440
2019-02,Vallcarca i els Penitents,2345
2019-02,Verdum - Los Roquetes,794
2019-02,Vila de Gràcia,37190
2019-02,Vilapicina i la Torre Llobeta,1374
2019-02,el Fort Pienc,17300
2019-03,Camp d'en Grassot i Gràcia Nova,4900
2019-03,Can Baro,854
2019-03,Carmel,568
2019-03,Ciutat Vella,63790
2019-03,Diagonal Mar - La Mar Bella,1334
2019-03,Dreta de l'Eixample,29809
2019-03,Eixample,131558
2019-03,El Baix Guinardó,2374
2019-03,El Besòs i el Maresme,2707
2019-03,El Bon Pastor,75
2019-03,El Born,1738
2019-03,El Camp de l'Arpa del Clot,2103
2019-03,El Clot,1872
2019-03,El Coll,1369
2019-03,El Congrés i els Indians,189
2019-03,El Gòtic,15070
2019-03,El Poble-sec,17891
2019-03,El Poblenou,5488
2019-03,El Putget i Farró,1454
2019-03,El Raval,21971
2019-03,Glòries - El Parc,3743
2019-03,Gràcia,28680
2019-03,Guinardó,2811
2019-03,Horta,540
2019-03,Horta-Guinardó,6783
2019-03,L'Antiga Esquerra de l'Eixample,11052
2019-03,La Barceloneta,2989
2019-03,La Font d'en Fargues,46
2019-03,La Guineueta - Canyelles,214
2019-03,La Maternitat i Sant Ramon,936
2019-03,La Nova Esquerra de l'Eixample,11535
2019-03,La Prosperitat,116
2019-03,La Sagrada Família,16077
2019-03,La Sagrera,281
2019-03,La Salut,1833
2019-03,La Teixonera,415
2019-03,La Trinitat Vella,24
2019-03,La Vall d'Hebron,76
2019-03,La Verneda i La Pau,584
2019-03,La Vila Olímpica,2846
2019-03,Les Corts,8664
2019-03,Les Tres Torres,282
2019-03,Montbau,340
2019-03,Navas,619
2019-03,Nou Barris,2708
2019-03,Pedralbes,250
2019-03,Porta,274
2019-03,Provençals del Poblenou,1293
2019-03,Sant Andreu,3111
2019-03,Sant Andreu de Palomar,730
2019-03,Sant Antoni,13977
2019-03,Sant Genís dels Agudells,144
2019-03,Sant Gervasi - Galvany,3735
2019-03,Sant Gervasi - la Bonanova,94
2019-03,Sant Martí,34352
2019-03,Sant Martí de Provençals,943
2019-03,Sant Pere/Santa Caterina,7157
2019-03,Sants-Montjuïc,59852
2019-03,Sarrià,524
2019-03,Sarrià-Sant Gervasi,8108
2019-03,Torre Baró,286
2019-03,Trinitat Nova,23
2019-03,Turó de la Peira - Can Peguera,389
2019-03,Vallcarca i els Penitents,1389
2019-03,Verdum - Los Roquetes,4
2019-03,Vila de Gràcia,18004
2019-03,Vilapicina i la Torre Llobeta,487
2019-03,el Fort Pienc,9718
2019-04,Camp d'en Grassot i Gràcia Nova,4873
2019-04,Can Baro,1076
2019-04,Carmel,708
2019-04,Ciutat Vella,56181
2019-04,Diagonal Mar - La Mar Bella,1944
2019-04,Dreta de l'Eixample,33282
2019-04,Eixample,125894
2019-04,El Baix Guinardó,2311
2019-04,El Besòs i el Maresme,2351
2019-04,El Bon Pastor,78
2019-04,El Born,4320
2019-04,El Camp de l'Arpa del Clot,3206
2019-04,El Clot,1663
2019-04,El Coll,311
2019-04,El Congrés i els Indians,245
2019-04,El Gòtic,18453
2019-04,El Poble-sec,18852
2019-04,El Poblenou,6789
2019-04,El Putget i Farró,2293
2019-04,El Raval,22131
2019-04,Glòries - El Parc,3958
2019-04,Gràcia,32492
2019-04,Guinardó,3132
2019-04,Horta,734
2019-04,Horta-Guinardó,7135
2019-04,L'Antiga Esquerra de l'Eixample,12217
2019-04,La Barceloneta,3684
2019-04,La Font d'en Fargues,19
2019-04,La Guineueta - Canyelles,255
2019-04,La Maternitat i Sant Ramon,1622
2019-04,La Nova Esquerra de l'Eixample,13592
2019-04,La Prosperitat,27
2019-04,La Sagrada Família,19419
2019-04,La Sagrera,821
2019-04,La Salut,1907
2019-04,La Teixonera,419
2019-04,La Trinitat Vella,20
2019-04,La Vall d'Hebron,81
2019-04,La Verneda i La Pau,624
2019-04,La Vila Olímpica,3169
2019-04,Les Corts,8300
2019-04,Les Tres Torres,241
2019-04,Montbau,206
2019-04,Navas,644
2019-04,Nou Barris,3197
2019-04,Pedralbes,258
2019-04,Porta,174
2019-04,Provençals del Poblenou,1281
2019-04,Sant Andreu,2802
2019-04,Sant Andreu de Palomar,894
2019-04,Sant Antoni,16261
2019-04,Sant Genís dels Agudells,184
2019-04,Sant Gervasi - Galvany,3334
2019-04,Sant Gervasi - la Bonanova,137
2019-04,Sant Martí,32277
2019-04,Sant Martí de Provençals,1088
2019-04,Sant Pere/Santa Caterina,11037
2019-04,Sants-Montjuïc,58698
2019-04,Sarrià,603
2019-04,Sarrià-Sant Gervasi,7763
2019-04,Torre Baró,195
2019-04,Trinitat Nova,42
2019-04,Turó de la Peira - Can Peguera,59
2019-04,Vallcarca i els Penitents,1268
2019-04,Verdum - Los Roquetes,25
2019-04,Vila de Gràcia,17501
2019-04,Vilapicina i la Torre Llobeta,407
2019-04,el Fort Pienc,9789
