month,neighbourhood,price_mean
2018-02,Sants-Montjuïc,80.64229559748428
2018-02,Sarrià,101.73015873015873
2018-02,Sarrià-Sant Gervasi,95.0
2018-02,Torre Baró,41.666666666666664
2018-02,Trinitat Nova,35.1
2018-02,Turó de la Peira - Can Peguera,42.483870967741936
2018-02,Vallcarca i els Penitents,71.66935483870968
2018-02,Verdum - Los Roquetes,33.0
2018-02,Vila de Gràcia,95.10142348754448
2018-02,Vilapicina i la Torre Llobeta,38.285714285714285
2018-02,el Fort Pienc,109.76719576719577
2018-04,Baró de Viver,122.5
2018-04,Camp d'en Grassot i Gràcia Nova,105.52857142857142
2018-04,Can Baro,56.98076923076923
2018-04,Carmel,104.81904761904762
2018-04,Ciutat Vella,144.0
2018-04,Diagonal Mar - La Mar Bella,253.89444444444445
2018-04,Dreta de l'Eixample,159.57784911717496
2018-04,Eixample,82.35384615384615
2018-04,El Baix Guinardó,89.7536231884058
2018-04,El Besòs i el Maresme,50.8235294117647
2018-04,El Bon Pastor,34.0
2018-04,El Born,80.85154639175258
2018-04,El Camp de l'Arpa del Clot,63.44984802431611
2018-04,El Clot,58.437869822485204
2018-04,El Coll,55.728813559322035
2018-04,El Congrés i els Indians,79.64150943396227
2018-04,El Gòtic,88.23524150268337
2018-04,El Poble-sec,92.70166320166321
2018-04,El Poblenou,98.1875
2018-04,El Putget i Farró,106.99014778325123
2018-04,El Raval,79.3254281949934
2018-04,Glòries - El Parc,77.93283582089552
2018-04,Gràcia,50.8
2018-04,Guinardó,74.25133689839572
2018-04,Horta,44.78048780487805
2018-04,Horta-Guinardó,141.45454545454547
2018-04,L'Antiga Esquerra de l'Eixample,102.12662721893491
2018-04,La Barceloneta,96.73051948051948
2018-04,La Font d'en Fargues,124.875
2018-04,La Guineueta - Canyelles,60.888888888888886
2018-04,La Maternitat i Sant Ramon,91.6880341880342
2018-04,La Nova Esquerra de l'Eixample,104.57072205736894
2018-04,La Prosperitat,45.85
2018-04,La Sagrada Família,97.04150943396226
2018-04,La Sagrera,61.833333333333336
2018-04,La Salut,62.27272727272727
2018-04,La Teixonera,52.333333333333336
2018-04,La Trinitat Vella,40.142857142857146
2018-04,La Vall d'Hebron,43.0
2018-04,La Verneda i La Pau,36.0
